"id","adult","backdrop_path","genre_ids","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
238,False,"/tmU7GeKVybMWFButWEGl2M4GeiP.jpg","{18,80}","en","The Godfather","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","124.761","/3bhkrj58Vtu7enYsRolD1fZdja1.jpg","1972-03-14","The Godfather",False,"8.708",19066
278,False,"/kXfqcdQKsToO0OUXHcrrNCHDBzO.jpg","{18,80}","en","The Shawshank Redemption","Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","102.922","/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg","1994-09-23","The Shawshank Redemption",False,"8.706",25058
240,False,"/kGzFbGhp99zva6oZODW5atUtnqi.jpg","{18,80}","en","The Godfather Part II","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","66.712","/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg","1974-12-20","The Godfather Part II",False,"8.59",11506
424,False,"/3f92DMBTFqr3wgXpfxzrb0qv8nG.jpg","{18,36,10752}","en","Schindler's List","The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.","65.052","/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg","1993-12-15","Schindler's List",False,"8.572",14850
19404,False,"/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg","{35,18,10749}","hi","दिलवाले दुल्हनिया ले जायेंगे","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.","34.886","/ktejodbcdCPXbMMdnpI9BUxW6O8.jpg","1995-10-20","Dilwale Dulhania Le Jayenge",False,"8.5",4293
389,False,"/qqHQsStV6exghCM7zbObuYBiYxw.jpg","{18}","en","12 Angry Men","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.","43.427","/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg","1957-04-10","12 Angry Men",False,"8.545",7837
129,False,"/mSDsSDwaP3E7dEfUPWy4J0djt4O.jpg","{16,10751,14}","ja","千と千尋の神隠し","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","92.068","/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg","2001-07-20","Spirited Away",False,"8.54",15185
496243,False,"/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg","{35,53,18}","ko","기생충","All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","86.438","/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg","2019-05-30","Parasite",False,"8.514",16743
155,False,"/nMKdUUepR0i5zn0y1T4CsSB5chy.jpg","{18,28,80,53}","en","The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","96.11","/qJ2tW6WMUDux911r6m7haRef0WH.jpg","2008-07-16","The Dark Knight",False,"8.513",31020
497,False,"/l6hQWH9eDksNJNiXWYRkWqikOdu.jpg","{14,18,80}","en","The Green Mile","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","60.99","/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg","1999-12-10","The Green Mile",False,"8.509",16201
372058,False,"/dIWwZW7dJJtqC6CgWzYkNVKIUm8.jpg","{10749,16,18}","ja","君の名は。","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.","79.588","/q719jXXEzOoYaps6babgKnONONX.jpg","2016-08-26","Your Name.",False,"8.503",10550
680,False,"/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg","{53,80}","en","Pulp Fiction","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","64.479","/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg","1994-09-10","Pulp Fiction",False,"8.489",26231
122,False,"/9DeGfFIqjph5CBFVQrD6wv9S7rR.jpg","{12,14,28}","en","The Lord of the Rings: The Return of the King","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.","85.029","/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg","2003-12-01","The Lord of the Rings: The Return of the King",False,"8.476",22664
13,False,"/qdIMHd4sEfJSckfVJfKQvisL02a.jpg","{35,18,10749}","en","Forrest Gump","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","80.369","/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg","1994-06-23","Forrest Gump",False,"8.476",25758
429,False,"/eoCSp75lxatmIa6aGqfnzwtbttd.jpg","{37}","it","Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.","67.889","/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg","1966-12-23","The Good, the Bad and the Ugly",False,"8.471",7916
769,False,"/sw7mordbZxgITU877yTpZCud90M.jpg","{18,80}","en","GoodFellas","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","62.243","/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg","1990-09-12","GoodFellas",False,"8.466",11943
12477,False,"/dlC0ed9Ugh3FzydnkBtV5lRXUu4.jpg","{16,18,10752}","ja","火垂るの墓","In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.","0.6","/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg","1988-04-15","Grave of the Fireflies",False,"8.455",4972
637,False,"/gavyCu1UaTaTNPsVaGXT6pe5u24.jpg","{35,18}","it","La vita è bella","A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.","41.227","/6tEJnof1DKWPnl5lzkjf0FVv7oB.jpg","1997-12-20","Life Is Beautiful",False,"8.455",12384
346,False,"/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg","{28,18}","ja","七人の侍","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.","35.802","/ApdijpVm1GNV9BQMOsGcAXq4gEB.jpg","1954-04-26","Seven Samurai",False,"8.455",3305
11216,False,"/zoVeIgKzGJzpdG6Gwnr7iOYfIMU.jpg","{18,10749}","it","Nuovo Cinema Paradiso","A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.","28.454","/8SRUfRUi6x4O68n0VCbDNRa6iGL.jpg","1988-11-17","Cinema Paradiso",False,"8.448",4028
667257,False,"/bxSBOAD8AuMHYMdW3jso9npAkgt.jpg","{10751,18}","es","Cosas imposibles","Matilde is a woman who, after the death of her husband—a man who constantly abused her—finds her new best friend in Miguel, her young, insecure, disoriented and even dealer neighbor","12.879","/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg","2021-06-17","Impossible Things",False,"8.4",360
550,False,"/hZkgoQYus5vegHoetLkCJzb17zJ.jpg","{18}","en","Fight Club","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","77.829","/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg","1999-10-15","Fight Club",False,"8.44",27621
696374,False,"/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg","{10749,18}","en","Gabriel's Inferno","An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.","16.168","/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg","2020-05-29","Gabriel's Inferno",False,"8.4",2372
568332,False,"/ySaK6hpbCc2OE13ac7ovhgWwR5u.jpg","{10402}","en","Taylor Swift: Reputation Stadium Tour","Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.","22.6","/u6oXUTtOuJRPdUgUuPAVVJPSKCo.jpg","2018-12-31","Taylor Swift: Reputation Stadium Tour",False,"8.4",318
539,False,"/uif5fUshJrXyyDzfpzp1DLw3N0S.jpg","{27,18,53}","en","Psycho","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.","30.844","/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg","1960-06-22","Psycho",False,"8.435",9430
598,False,"/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg","{18,80}","pt","Cidade de Deus","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","37.819","/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg","2002-08-30","City of God",False,"8.433",6805
311,False,"/uPYa165sraN2c8gZBM9C47g3JoU.jpg","{18,80}","en","Once Upon a Time in America","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","40.261","/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg","1984-05-23","Once Upon a Time in America",False,"8.428",4961
372754,False,"/3RMLbSEXOn1CzLoNT7xFeLfdxhq.jpg","{10749,16}","ja","同級生","Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.","11.47","/cIfRCA5wEvj9tApca4UDUagQEiM.jpg","2016-02-20","Dou kyu sei – Classmates",False,"8.4",329
724089,False,"/jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg","{10749,18}","en","Gabriel's Inferno: Part II","Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?","11.692","/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg","2020-07-31","Gabriel's Inferno: Part II",False,"8.4",1486
510,False,"/oje9d0EXQyQcxsqHQor4xFVGjrd.jpg","{18}","en","One Flew Over the Cuckoo's Nest","A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.","32.379","/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg","1975-11-19","One Flew Over the Cuckoo's Nest",False,"8.422",9774
157336,False,"/xJHokMbljvjADYdit5fK5VQsXEG.jpg","{12,18,878}","en","Interstellar","The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.","138.195","/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg","2014-11-05","Interstellar",False,"8.421",33052
620249,False,"/aVFx1VtlOxR3v0ADEatalXOvwbu.jpg","{16,14,28}","zh","罗小黑战记","When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.","18.432","/aLv87NgRJUPkQ6sVLP72IisDdt4.jpg","2019-08-27","The Legend of Hei",False,"8.4",313
761053,False,"/fQq1FWp1rC89xDrRMuyFJdFUdMd.jpg","{10749,18}","en","Gabriel's Inferno: Part III","The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.","22.754","/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg","2020-11-19","Gabriel's Inferno: Part III",False,"8.4",1030
324857,False,"/qGQf2OHIkoh89K8XeKQzhxczf96.jpg","{28,12,16,878}","en","Spider-Man: Into the Spider-Verse","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.","98.183","/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg","2018-12-06","Spider-Man: Into the Spider-Verse",False,"8.406",14302
120,False,"/x2RS3uTcsJJ9IfjNPcgDmukoEcQ.jpg","{12,14,28}","en","The Lord of the Rings: The Fellowship of the Ring","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","103.171","/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg","2001-12-18","The Lord of the Rings: The Fellowship of the Ring",False,"8.406",23624
40096,False,"/xw1gA0lm0AEhGLoR6sE8IYCQAV4.jpg","{35,18,14}","pt","O Auto da Compadecida","The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.","10.262","/imcOp1kJsCsAFCoOtY5OnPrFbAf.jpg","2000-09-15","A Dog's Will",False,"8.4",1026
4935,False,"/tjMiLkVfOmbx3kUtKSmkLimiw8x.jpg","{14,16,12}","ja","ハウルの動く城","Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.","75.362","/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg","2004-09-09","Howl's Moving Castle",False,"8.404",8915
569094,False,"/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg","{16,28,12,878}","en","Spider-Man: Across the Spider-Verse","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","325.75","/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg","2023-05-31","Spider-Man: Across the Spider-Verse",False,"8.4",5085
14537,False,"/nC3IjYhUgZWgfKfFX0ygMigFwgc.jpg","{28,18,36}","ja","切腹","Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.","21.021","/w7pWcLaYQkbtRUn99K6ome0DblL.jpg","1962-09-15","Harakiri",False,"8.4",864
378064,False,"/5lAMQMWpXMsirvtLLvW7cJgEPkU.jpg","{16,18}","ja","映画 聲の形","Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?","45.92","/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg","2016-09-17","A Silent Voice: The Movie",False,"8.396",3634
1891,False,"/aJCtkxLLzkk1pECehVjKHA2lBgw.jpg","{12,28,878}","en","The Empire Strikes Back","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.","32.383","/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg","1980-05-20","The Empire Strikes Back",False,"8.392",15960
255709,False,"/l5K9elugftlcyIHHm4nylvsn26X.jpg","{18}","ko","소원","After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.","17.456","/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg","2013-10-02","Hope",False,"8.4",601
121,False,"/zcc0My3G4SYR72VuEYHNcUWkkW0.jpg","{12,14,28}","en","The Lord of the Rings: The Two Towers","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","80.402","/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg","2002-12-18","The Lord of the Rings: The Two Towers",False,"8.388",20545
244786,False,"/vNXGrknx4GjWLgmuNTftWZluIUl.jpg","{18,10402}","en","Whiplash","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.","54.717","/7fn624j5lj3xTme2SgiLCeuedmO.jpg","2014-10-10","Whiplash",False,"8.384",14089
423,False,"/dVr11o9or7AS8AMPfwjSpEU83iU.jpg","{18,10752}","en","The Pianist","The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.","45.62","/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg","2002-09-17","The Pianist",False,"8.383",8501
807,False,"/dYjZ27hDw2QFaEIfzbNGwW0IkV9.jpg","{80,9648,53}","en","Se7en","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","66.471","/6yoghtyTpznpBik8EngEmJskVUO.jpg","1995-09-22","Se7en",False,"8.371",19698
92321,False,"/qknxyRgP6UTmwJ4B9tDAmzHMq7u.jpg","{10749,16,14}","ja","蛍火の杜へ","One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...","0.6","/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg","2011-09-17","Hotarubi no Mori e",False,"8.368",1009
995133,False,"/wxaBkuqVIgImjRHEMJoxL9Lq6i8.jpg","{16,10751,12,14}","en","The Boy, the Mole, the Fox and the Horse","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy’s search for home.","32.424","/oQRgyQCzcyZvE6w5heM9ktVY0LT.jpg","2022-12-25","The Boy, the Mole, the Fox and the Horse",False,"8.4",428
27205,False,"/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg","{28,878,12}","en","Inception","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","115.117","/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg","2010-07-15","Inception",False,"8.366",34851
901,False,"/n0Cju2Eu3VyrUFl32thblHFWznA.jpg","{35,10749,18}","en","City Lights","In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.","12.905","/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg","1931-02-01","City Lights",False,"8.307",1989
820067,False,"/jBIMZ0AlUYuFNsKbd4L6FojWMoy.jpg","{16,35,10749}","ja","映画 五等分の花嫁","When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?","38.36","/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg","2022-05-20","The Quintessential Quintuplets Movie",False,"8.4",338
567,False,"/zGs5tZOlvc9cprdcU6kDOVNpujf.jpg","{53,9648}","en","Rear Window","A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.","28.538","/ILVF0eJxHMddjxeQhswFtpMtqx.jpg","1954-08-01","Rear Window",False,"8.357",5998
73,False,"/9LSsSPbP715XT9B7acIZzantPyX.jpg","{18}","en","American History X","Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.","28.686","/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg","1998-07-01","American History X",False,"8.35",10882
274,False,"/mfwq2nMBzArzQ7Y9RKE8SKeeTkg.jpg","{80,18,53}","en","The Silence of the Lambs","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.","13.068","/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg","1991-02-14","The Silence of the Lambs",False,"8.344",15258
652837,False,"/i1GT0e6Crg6UezT3ibXnMS3pBAd.jpg","{16,18,10749}","ja","ジョゼと虎と魚たち","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.","30.231","/xAbSLi61npWyVs5M0yxin3dKcGO.jpg","2020-12-25","Josee, the Tiger and the Fish",False,"8.333",383
128,False,"/sXV0NVLtyEsOdaEXnMcRGwUhIi0.jpg","{12,14,16}","ja","もののけ姫","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.","57.784","/cMYCDADoLKLbB83g4WnJegaZimC.jpg","1997-07-12","Princess Mononoke",False,"8.338",7359
18491,False,"/AfyuI3glMCBDFmNPj9PY6DwbgGp.jpg","{16,878,28,18}","ja","新世紀エヴァンゲリオン劇場版 Air／まごころを、君に","The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.","46.219","/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg","1997-07-19","Neon Genesis Evangelion: The End of Evangelion",False,"8.3",1411
914,False,"/c8Pi8F1FzpNebtgXcSjC9nWCdSW.jpg","{35,10752}","en","The Great Dictator","Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.","19.352","/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg","1940-10-15","The Great Dictator",False,"8.334",3092
599,False,"/p47ihFj4A7EpBjmPHdTj4ipyq1S.jpg","{18}","en","Sunset Boulevard","A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.","19.841","/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg","1950-08-17","Sunset Boulevard",False,"8.3",2365
3782,False,"/5qtOVAcBFogwktkseoZSfZVq6bx.jpg","{18}","ja","生きる","Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.","16.814","/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg","1952-10-09","Ikiru",False,"8.3",997
644479,False,"/1fOsyhVz5qyX2rl1qqX6KImVhTx.jpg","{18,35}","es","Dedicada A Mi Ex","The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.","11.008","/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg","2019-11-01","Dedicated to my ex",False,"8.3",489
12493,False,"/A62quSOB8otoZvGiLvMVZ9G4BiO.jpg","{80,18,9648,53}","ja","天国と地獄","A shoe company executive who has mortgaged everything he has becomes a victim of extortion when his chauffeur's son is kidnapped and is conflicted over whether he should pay the ransom.","22.616","/tgNjemQPG96uIezpiUiXFcer5ga.jpg","1963-03-01","High and Low",False,"8.3",770
101,False,"/jRJrQ72VLyEnVsvwfep8Xjlvu8c.jpg","{80,18,28}","en","Léon: The Professional","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.","72.778","/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg","1994-09-14","Léon: The Professional",False,"8.314",13856
207,False,"/hpzQHv8cA7j2Dn2CphOFYmllXzj.jpg","{18}","en","Dead Poets Society","At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.","42.784","/azrIJJfdEL3UQhBmWhFe2b7bSCX.jpg","1989-06-02","Dead Poets Society",False,"8.313",10460
105,False,"/3lbTiIN8cVonMUQwaeh5nvn61lr.jpg","{12,35,878}","en","Back to the Future","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","57.754","/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg","1985-07-03","Back to the Future",False,"8.3",18702
